user_id,gender,age,height_cm,weight_kg,body_type,skin_tone,hair_type,hair_color
U1,Female,23,166,75,Pear,Medium,Wavy,Black
U2,Female,27,149,61,Athletic,Dark,Straight,Brown
U3,Female,23,170,61,Rectangle,Fair,Curly,Brown
U4,Female,29,163,54,Rectangle,Fair,Wavy,Black
U5,Female,24,153,51,Rectangle,Fair,Wavy,Black
U6,Female,22,153,57,Athletic,Dark,Wavy,Black
U7,Female,34,165,58,Athletic,Medium,Wavy,Blonde
U8,Female,20,155,61,Hourglass,Medium,Curly,Black
U9,Female,28,145,62,Hourglass,Medium,Curly,Brown
U10,Female,27,156,64,Hourglass,Medium,Curly,Black
U11,Female,35,149,48,Apple,Dark,Curly,Brown
U12,Female,31,159,70,Rectangle,Dark,Curly,Blonde
U13,Female,18,171,69,Athletic,Medium,Wavy,Blonde
U14,Female,30,171,51,Hourglass,Dark,Straight,Brown
U15,Female,22,161,62,Hourglass,Dark,Straight,Brown
U16,Female,33,167,63,Rectangle,Medium,Curly,Brown
U17,Female,21,168,49,Rectangle,Fair,Curly,Brown
U18,Female,34,171,61,Apple,Dark,Wavy,Blonde
U19,Female,35,150,59,Apple,Fair,Curly,Brown
U20,Female,24,154,66,Hourglass,Dark,Straight,Black
U21,Female,19,152,63,Hourglass,Dark,Curly,Black
U22,Female,21,173,52,Hourglass,Fair,Curly,Brown
U23,Female,28,166,51,Pear,Medium,Wavy,Blonde
U24,Female,21,162,75,Athletic,Dark,Curly,Brown
U25,Female,21,158,66,Athletic,Fair,Wavy,Brown
U26,Female,33,157,72,Hourglass,Medium,Curly,Brown
U27,Female,29,162,69,Pear,Dark,Wavy,Blonde
U28,Female,34,147,67,Rectangle,Fair,Curly,Black
U29,Female,21,159,72,Athletic,Fair,Wavy,Blonde
U30,Female,28,149,45,Rectangle,Dark,Wavy,Black
U31,Female,23,155,71,Apple,Fair,Wavy,Black
U32,Female,29,165,55,Rectangle,Fair,Straight,Brown
U33,Female,21,163,70,Pear,Dark,Wavy,Black
U34,Female,29,167,47,Athletic,Fair,Curly,Brown
U35,Female,28,157,72,Athletic,Medium,Curly,Black
U36,Female,32,148,75,Hourglass,Medium,Wavy,Blonde
