product_id,product_name,hair_type,routine_type
8005,Conditioner N 870,Scalp Issues,Wash
4755,Conditioner F 429,Low Porosity,Wash
5464,Hair Mask C 787,Low Porosity,Treatment
7208,Serum L 288,High Porosity,Treatment
1509,Serum H 331,Low Porosity,Treatment
6944,Shampoo I 133,High Porosity,Wash
9430,Conditioner N 179,Scalp Issues,Wash
1637,Shampoo E 328,High Porosity,Wash
9089,Hair Mask K 883,Scalp Issues,Treatment
6651,Shampoo A 592,Low Porosity,Wash
4805,Conditioner N 102,Scalp Issues,Wash
3777,Hair Mask O 691,High Porosity,Treatment
2239,Conditioner B 673,High Porosity,Wash
1025,Shampoo A 676,Low Porosity,Wash
1459,Shampoo E 10,High Porosity,Wash
335,Serum D 850,Scalp Issues,Treatment
4656,Serum D 852,Scalp Issues,Treatment
9819,Shampoo M 101,Low Porosity,Wash
6132,Shampoo E 515,High Porosity,Wash
2993,Conditioner J 509,Low Porosity,Wash
3719,Hair Mask O 384,High Porosity,Treatment
1963,Serum H 783,Low Porosity,Treatment
1990,Shampoo I 731,High Porosity,Wash
4672,Serum D 168,Scalp Issues,Treatment
9200,Hair Mask O 295,High Porosity,Treatment
136,Serum L 641,High Porosity,Treatment
9903,Hair Mask G 972,Scalp Issues,Treatment
8353,Shampoo M 324,Low Porosity,Wash
2563,Serum H 193,Low Porosity,Treatment
2479,Shampoo A 783,Low Porosity,Wash
427,Hair Mask O 995,High Porosity,Treatment
4342,Shampoo I 12,High Porosity,Wash
3687,Serum D 899,Scalp Issues,Treatment
6176,Shampoo M 268,Low Porosity,Wash
2187,Hair Mask C 28,Low Porosity,Treatment
2044,Hair Mask C 271,Low Porosity,Treatment
2889,Serum H 282,Low Porosity,Treatment
2762,Serum H 870,Low Porosity,Treatment
3281,Conditioner B 939,High Porosity,Wash
7108,Conditioner F 228,Low Porosity,Wash
2394,Shampoo A 475,Low Porosity,Wash
7736,Conditioner F 569,Low Porosity,Wash
6005,Hair Mask G 33,Scalp Issues,Treatment
2413,Shampoo A 899,Low Porosity,Wash
6208,Serum D 517,Scalp Issues,Treatment
237,Hair Mask G 382,Scalp Issues,Treatment
9673,Hair Mask G 297,Scalp Issues,Treatment
4100,Hair Mask K 675,Scalp Issues,Treatment
5046,Hair Mask G 392,Scalp Issues,Treatment
8665,Hair Mask C 828,Low Porosity,Treatment
1674,Conditioner N 457,Scalp Issues,Wash
6932,Conditioner J 339,Low Porosity,Wash
7641,Shampoo I 910,High Porosity,Wash
489,Shampoo E 750,High Porosity,Wash
9472,Serum H 224,Low Porosity,Treatment
1793,Conditioner B 127,High Porosity,Wash
593,Shampoo E 927,High Porosity,Wash
5720,Hair Mask K 12,Scalp Issues,Treatment
4930,Shampoo M 567,Low Porosity,Wash
8720,Serum H 137,Low Porosity,Treatment
9380,Serum H 754,Low Porosity,Treatment
3870,Shampoo A 667,Low Porosity,Wash
808,Conditioner J 958,Low Porosity,Wash
2439,Shampoo M 160,Low Porosity,Wash
3426,Hair Mask G 988,Scalp Issues,Treatment
9246,Conditioner N 907,Scalp Issues,Wash
1756,Serum D 731,Scalp Issues,Treatment
7991,Shampoo E 532,High Porosity,Wash
2571,Shampoo A 624,Low Porosity,Wash
9087,Shampoo A 920,Low Porosity,Wash
2847,Shampoo M 29,Low Porosity,Wash
1298,Shampoo M 612,Low Porosity,Wash
6625,Hair Mask O 302,High Porosity,Treatment
1322,Serum L 592,High Porosity,Treatment
4684,Serum H 706,Low Porosity,Treatment
2526,Shampoo M 974,Low Porosity,Wash
5739,Serum L 166,High Porosity,Treatment
3965,Conditioner F 281,Low Porosity,Wash
2967,Conditioner N 191,Scalp Issues,Wash
3514,Serum H 752,Low Porosity,Treatment
3159,Shampoo E 65,High Porosity,Wash
7692,Conditioner J 396,Low Porosity,Wash
2540,Conditioner N 741,Scalp Issues,Wash
117,Serum H 624,Low Porosity,Treatment
3776,Hair Mask C 661,Low Porosity,Treatment
1280,Serum H 270,Low Porosity,Treatment
7758,Hair Mask K 642,Scalp Issues,Treatment
3418,Hair Mask G 871,Scalp Issues,Treatment
1971,Conditioner F 144,Low Porosity,Wash
6489,Serum L 952,High Porosity,Treatment
845,Conditioner J 940,Low Porosity,Wash
8288,Hair Mask C 474,Low Porosity,Treatment
9766,Conditioner J 909,Low Porosity,Wash
707,Hair Mask K 281,Scalp Issues,Treatment
3482,Conditioner N 75,Scalp Issues,Wash
63,Serum L 530,High Porosity,Treatment
5816,Conditioner F 266,Low Porosity,Wash
5995,Serum H 389,Low Porosity,Treatment
1968,Hair Mask K 1000,Scalp Issues,Treatment
3223,Hair Mask O 863,High Porosity,Treatment
5693,Shampoo I 236,High Porosity,Wash
395,Hair Mask C 128,Low Porosity,Treatment
8382,Shampoo A 239,Low Porosity,Wash
3087,Conditioner F 271,Low Porosity,Wash
7250,Hair Mask C 196,Low Porosity,Treatment
3010,Shampoo E 28,High Porosity,Wash
4656,Hair Mask K 147,Scalp Issues,Treatment
4612,Serum H 50,Low Porosity,Treatment
7772,Hair Mask C 895,Low Porosity,Treatment
1575,Shampoo I 962,High Porosity,Wash
6863,Shampoo E 401,High Porosity,Wash
5622,Shampoo I 520,High Porosity,Wash
2378,Serum D 317,Scalp Issues,Treatment
5123,Serum D 972,Scalp Issues,Treatment
2957,Serum D 920,Scalp Issues,Treatment
6128,Hair Mask O 567,High Porosity,Treatment
6522,Serum D 621,Scalp Issues,Treatment
8522,Serum L 817,High Porosity,Treatment
537,Conditioner B 621,High Porosity,Wash
3275,Hair Mask O 932,High Porosity,Treatment
4843,Hair Mask G 836,Scalp Issues,Treatment
3859,Shampoo M 140,Low Porosity,Wash
6307,Conditioner F 90,Low Porosity,Wash
4645,Conditioner F 164,Low Porosity,Wash
