product_id,product_name,hair_type,routine_type
8005,conditioner n 870,scalp issues,Wash
4755,conditioner f 429,low porosity,Wash
5464,hair mask c 787,low porosity,Treatment
7208,serum l 288,high porosity,Treatment
1509,serum h 331,low porosity,Treatment
6944,shampoo i 133,high porosity,Wash
9430,conditioner n 179,scalp issues,Wash
1637,shampoo e 328,high porosity,Wash
9089,hair mask k 883,scalp issues,Treatment
6651,shampoo a 592,low porosity,Wash
4805,conditioner n 102,scalp issues,Wash
3777,hair mask o 691,high porosity,Treatment
2239,conditioner b 673,high porosity,Wash
1025,shampoo a 676,low porosity,Wash
1459,shampoo e 10,high porosity,Wash
335,serum d 850,scalp issues,Treatment
4656,serum d 852,scalp issues,Treatment
9819,shampoo m 101,low porosity,Wash
6132,shampoo e 515,high porosity,Wash
2993,conditioner j 509,low porosity,Wash
3719,hair mask o 384,high porosity,Treatment
1963,serum h 783,low porosity,Treatment
1990,shampoo i 731,high porosity,Wash
4672,serum d 168,scalp issues,Treatment
9200,hair mask o 295,high porosity,Treatment
136,serum l 641,high porosity,Treatment
9903,hair mask g 972,scalp issues,Treatment
8353,shampoo m 324,low porosity,Wash
2563,serum h 193,low porosity,Treatment
2479,shampoo a 783,low porosity,Wash
427,hair mask o 995,high porosity,Treatment
4342,shampoo i 12,high porosity,Wash
3687,serum d 899,scalp issues,Treatment
6176,shampoo m 268,low porosity,Wash
2187,hair mask c 28,low porosity,Treatment
2044,hair mask c 271,low porosity,Treatment
2889,serum h 282,low porosity,Treatment
2762,serum h 870,low porosity,Treatment
3281,conditioner b 939,high porosity,Wash
7108,conditioner f 228,low porosity,Wash
2394,shampoo a 475,low porosity,Wash
7736,conditioner f 569,low porosity,Wash
6005,hair mask g 33,scalp issues,Treatment
2413,shampoo a 899,low porosity,Wash
6208,serum d 517,scalp issues,Treatment
237,hair mask g 382,scalp issues,Treatment
9673,hair mask g 297,scalp issues,Treatment
4100,hair mask k 675,scalp issues,Treatment
5046,hair mask g 392,scalp issues,Treatment
8665,hair mask c 828,low porosity,Treatment
1674,conditioner n 457,scalp issues,Wash
6932,conditioner j 339,low porosity,Wash
7641,shampoo i 910,high porosity,Wash
489,shampoo e 750,high porosity,Wash
9472,serum h 224,low porosity,Treatment
1793,conditioner b 127,high porosity,Wash
593,shampoo e 927,high porosity,Wash
5720,hair mask k 12,scalp issues,Treatment
4930,shampoo m 567,low porosity,Wash
8720,serum h 137,low porosity,Treatment
9380,serum h 754,low porosity,Treatment
3870,shampoo a 667,low porosity,Wash
808,conditioner j 958,low porosity,Wash
2439,shampoo m 160,low porosity,Wash
3426,hair mask g 988,scalp issues,Treatment
9246,conditioner n 907,scalp issues,Wash
1756,serum d 731,scalp issues,Treatment
7991,shampoo e 532,high porosity,Wash
2571,shampoo a 624,low porosity,Wash
9087,shampoo a 920,low porosity,Wash
2847,shampoo m 29,low porosity,Wash
1298,shampoo m 612,low porosity,Wash
6625,hair mask o 302,high porosity,Treatment
1322,serum l 592,high porosity,Treatment
4684,serum h 706,low porosity,Treatment
2526,shampoo m 974,low porosity,Wash
5739,serum l 166,high porosity,Treatment
3965,conditioner f 281,low porosity,Wash
2967,conditioner n 191,scalp issues,Wash
3514,serum h 752,low porosity,Treatment
3159,shampoo e 65,high porosity,Wash
7692,conditioner j 396,low porosity,Wash
2540,conditioner n 741,scalp issues,Wash
117,serum h 624,low porosity,Treatment
3776,hair mask c 661,low porosity,Treatment
1280,serum h 270,low porosity,Treatment
7758,hair mask k 642,scalp issues,Treatment
3418,hair mask g 871,scalp issues,Treatment
1971,conditioner f 144,low porosity,Wash
6489,serum l 952,high porosity,Treatment
845,conditioner j 940,low porosity,Wash
8288,hair mask c 474,low porosity,Treatment
9766,conditioner j 909,low porosity,Wash
707,hair mask k 281,scalp issues,Treatment
3482,conditioner n 75,scalp issues,Wash
63,serum l 530,high porosity,Treatment
5816,conditioner f 266,low porosity,Wash
5995,serum h 389,low porosity,Treatment
1968,hair mask k 1000,scalp issues,Treatment
3223,hair mask o 863,high porosity,Treatment
5693,shampoo i 236,high porosity,Wash
395,hair mask c 128,low porosity,Treatment
8382,shampoo a 239,low porosity,Wash
3087,conditioner f 271,low porosity,Wash
7250,hair mask c 196,low porosity,Treatment
3010,shampoo e 28,high porosity,Wash
4656,hair mask k 147,scalp issues,Treatment
4612,serum h 50,low porosity,Treatment
7772,hair mask c 895,low porosity,Treatment
1575,shampoo i 962,high porosity,Wash
6863,shampoo e 401,high porosity,Wash
5622,shampoo i 520,high porosity,Wash
2378,serum d 317,scalp issues,Treatment
5123,serum d 972,scalp issues,Treatment
2957,serum d 920,scalp issues,Treatment
6128,hair mask o 567,high porosity,Treatment
6522,serum d 621,scalp issues,Treatment
8522,serum l 817,high porosity,Treatment
537,conditioner b 621,high porosity,Wash
3275,hair mask o 932,high porosity,Treatment
4843,hair mask g 836,scalp issues,Treatment
3859,shampoo m 140,low porosity,Wash
6307,conditioner f 90,low porosity,Wash
4645,conditioner f 164,low porosity,Wash
9078,hair mask g 412,scalp issues,Treatment
8691,serum l 585,high porosity,Treatment
1180,serum l 735,high porosity,Treatment
3364,shampoo e 159,high porosity,Wash
529,shampoo e 133,high porosity,Wash
1569,serum l 900,high porosity,Treatment
1964,serum l 160,high porosity,Treatment
3694,serum h 532,low porosity,Treatment
9439,hair mask k 374,scalp issues,Treatment
8314,conditioner f 468,low porosity,Wash
202,shampoo m 502,low porosity,Wash
7044,hair mask k 430,scalp issues,Treatment
8909,conditioner n 667,scalp issues,Wash
9990,serum l 445,high porosity,Treatment
5903,hair mask g 426,scalp issues,Treatment
2140,shampoo m 678,low porosity,Wash
6551,serum d 93,scalp issues,Treatment
531,serum h 18,low porosity,Treatment
