dress_id,category,fit_type,primary_color,fabric,event_type
D1,gown,loose,pink,velvet,party
D2,kurti,slim,black,silk,wedding
D3,gown,slim,red,velvet,college
D4,kurti,regular,pink,silk,wedding
D5,kurti,slim,pink,cotton,reception
D6,gown,regular,pink,cotton,formal
D7,suit,loose,black,velvet,formal
D8,gown,loose,pink,net,reception
D9,suit,slim,blue,cotton,festival
D10,kurti,loose,pink,velvet,college
D11,suit,regular,pink,net,reception
D12,lehenga,regular,red,velvet,reception
D13,suit,loose,blue,velvet,college
D14,gown,slim,green,velvet,formal
D15,lehenga,slim,black,silk,reception
D16,unknown,regular,black,silk,college
D17,saree,slim,green,silk,wedding
D18,lehenga,slim,green,silk,formal
D19,kurti,regular,black,silk,college
D20,gown,regular,blue,net,reception
D21,saree,loose,red,net,formal
D22,suit,slim,red,net,formal
D23,saree,slim,blue,velvet,wedding
D24,saree,regular,red,net,wedding
D25,suit,slim,black,velvet,festival
D26,suit,loose,blue,velvet,wedding
D27,kurti,slim,blue,cotton,formal
D28,saree,regular,pink,silk,wedding
D29,gown,loose,pink,velvet,wedding
D30,gown,slim,black,silk,wedding
D31,unknown,loose,green,net,reception
D32,lehenga,slim,black,velvet,party
D33,gown,regular,black,cotton,college
D34,suit,regular,blue,net,unknown
D35,suit,loose,pink,velvet,college
D36,saree,slim,red,velvet,reception
D37,gown,loose,black,silk,reception
D38,lehenga,loose,red,silk,formal
D39,gown,regular,black,cotton,formal
D40,kurti,regular,red,cotton,party
D41,suit,slim,blue,velvet,reception
D42,lehenga,slim,blue,net,party
D43,lehenga,slim,red,silk,festival
D44,gown,slim,black,net,reception
D45,kurti,loose,green,silk,college
D46,unknown,loose,pink,velvet,reception
D47,kurti,regular,green,cotton,reception
D48,gown,loose,black,velvet,formal
D49,suit,slim,black,velvet,festival
D50,saree,regular,red,cotton,reception
D51,kurti,regular,black,velvet,party
D52,kurti,slim,red,velvet,festival
D53,saree,loose,blue,silk,reception
D54,lehenga,slim,red,silk,party
D55,kurti,slim,red,net,formal
D56,kurti,slim,blue,net,party
D57,suit,slim,black,velvet,reception
D58,kurti,slim,black,net,reception
D59,gown,loose,black,cotton,wedding
D60,saree,loose,blue,velvet,reception
D61,suit,loose,red,velvet,college
D62,suit,loose,blue,velvet,festival
D63,gown,slim,black,velvet,college
D64,kurti,regular,blue,velvet,formal
D65,gown,regular,black,cotton,party
D66,saree,loose,pink,silk,festival
D67,saree,slim,black,net,formal
D68,saree,slim,pink,cotton,college
D69,lehenga,slim,red,silk,festival
D70,unknown,regular,green,silk,college
D71,suit,loose,blue,net,formal
D72,gown,regular,pink,velvet,formal
D73,suit,slim,blue,silk,formal
