user_id,event_type,dress_id,body_match_score,style_score,final_ratings
u3936,wedding,d176,0.63,0.95,3
u2095,wedding,d160,0.72,0.91,3
u744,wedding,d28,0.61,0.91,4
u3748,reception,d80,0.99,0.64,5
u3941,reception,d139,0.65,0.84,4
u333,reception,d15,0.69,0.87,4
u3451,formal,d159,0.78,0.88,4
u1118,wedding,d2,0.7,0.76,4
u3702,festival,d9,0.76,1.0,4
u1679,college,d13,0.62,0.74,5
u2675,festival,d43,0.69,0.66,3
u3148,formal,d84,0.75,0.76,3
u3810,formal,d123,0.84,0.72,3
u4835,college,d172,0.7,0.95,3
u383,festival,d108,0.87,0.86,5
u882,reception,d41,0.93,0.89,5
u671,wedding,d140,0.91,0.71,5
u362,formal,d147,0.69,0.91,4
u740,reception,d8,0.68,0.98,4
u52,formal,d48,0.85,0.74,4
u4729,reception,d188,0.86,0.68,3
u4987,party,d65,0.9,0.65,5
u4041,wedding,d90,0.64,0.67,4
u3976,formal,d127,0.7,0.87,5
u497,wedding,d170,0.98,0.6,4
u152,formal,d171,0.86,0.6,3
u1403,formal,d125,0.63,0.7,3
u2717,festival,d105,0.67,0.99,3
u2353,formal,d7,0.98,0.86,3
u859,wedding,d86,0.66,0.8,3
u2968,college,d13,0.67,0.73,3
u3458,festival,d25,0.87,0.65,3
u201,festival,d186,0.86,0.94,4
u536,festival,d34,0.77,0.6,4
u3466,formal,d73,0.76,0.99,3
u1479,formal,d64,0.86,0.67,5
u2447,reception,d141,0.96,0.77,5
u4310,festival,d92,0.85,0.91,4
u785,reception,d152,0.85,0.8,4
u4504,wedding,d150,0.68,0.92,4
u3378,festival,d178,0.88,0.97,4
u3336,college,d168,0.98,0.66,3
u3096,reception,d57,0.73,0.99,3
u4665,wedding,d112,0.62,0.75,4
u859,party,d151,0.9,0.66,5
u899,reception,d141,0.71,0.7,5
u712,formal,d27,0.62,0.76,3
u2966,formal,d144,0.73,0.92,3
u4769,formal,d161,0.71,0.92,5
u2612,formal,d75,0.7,0.74,4
u2868,formal,d22,0.7,0.78,4
u3511,reception,d15,0.77,0.7,3
u698,wedding,d29,0.96,0.87,3
u317,formal,d84,0.74,0.73,5
u3296,college,d61,1.0,0.67,4
u1675,festival,d88,0.72,0.85,4
u1493,formal,d89,0.62,0.92,5
u698,formal,d127,0.85,0.84,4
u4957,party,d158,0.74,0.68,5
u4209,festival,d117,0.82,0.79,3
u2794,formal,d171,0.78,0.62,4
u1202,festival,d43,0.82,0.78,3
u4959,wedding,d175,0.86,0.86,3
u2782,reception,d11,0.93,0.76,3
u286,party,d165,0.65,0.87,4
u76,party,d40,0.7,0.72,5
u1747,festival,d183,0.71,0.84,3
u3998,wedding,d94,0.86,0.83,5
u3750,reception,d20,0.83,0.91,3
u4899,wedding,d175,0.9,0.77,5
u2957,college,d3,0.95,0.83,3
u2677,reception,d53,0.68,0.92,5
u2544,wedding,d154,0.68,0.66,4
u1231,wedding,d29,0.82,0.66,5
u4329,wedding,d4,0.82,0.8,5
u3993,reception,d120,0.87,0.69,5
u3363,festival,d148,0.66,0.98,3
u3118,wedding,d160,0.99,0.82,4
u3915,formal,d55,0.89,0.86,5
u922,formal,d149,0.66,0.72,3
u3020,wedding,d23,0.74,0.68,4
u1540,formal,d144,1.0,0.92,3
u2815,festival,d49,0.94,0.95,4
u2863,formal,d38,0.7,0.96,3
u2673,wedding,d160,0.77,0.92,3
u1597,reception,d193,0.84,0.79,3
u2758,festival,d49,0.75,0.66,5
u982,party,d151,0.99,0.87,3
u2408,formal,d77,0.7,0.86,3
u1717,wedding,d175,0.71,0.79,4
u595,wedding,d28,0.65,0.69,3
u4677,reception,d41,0.84,0.84,5
u1846,party,d191,0.77,0.71,5
u3787,college,d33,1.0,0.77,4
u3708,reception,d15,0.85,0.9,5
u118,wedding,d83,0.92,0.92,5
u1980,wedding,d175,0.92,0.8,4
u925,reception,d46,0.62,0.77,3
u3742,formal,d164,0.8,0.95,5
u3152,formal,d72,0.84,0.86,3
u4440,reception,d44,0.82,0.61,5
u1146,festival,d186,0.64,0.95,5
u2463,college,d124,0.8,0.8,3
u2613,party,d137,1.0,0.61,5
u210,festival,d131,0.7,0.88,5
u419,festival,d119,0.68,0.91,3
u813,reception,d37,0.99,0.68,5
u2868,festival,d25,0.83,0.87,4
u3268,wedding,d2,0.79,0.77,4
u2740,reception,d120,0.76,1.0,4
u2744,college,d16,0.9,0.82,3
u3679,reception,d44,0.92,0.66,4
u1984,party,d1,0.73,0.92,4
u3004,party,d99,0.74,0.88,5
u2170,college,d13,0.78,0.86,3
u3634,formal,d21,0.71,0.99,4
u1557,wedding,d24,0.94,0.97,3
u1261,festival,d106,0.98,0.66,3
u4339,wedding,d160,0.94,0.73,5
u764,college,d63,0.63,0.79,3
u2770,festival,d49,0.64,0.73,5
u886,party,d128,0.97,0.74,4
u4197,wedding,d94,0.92,0.82,5
u2052,formal,d67,0.79,0.84,3
u4240,festival,d178,0.86,0.91,5
u4173,formal,d127,0.89,0.78,5
u1420,formal,d55,0.65,0.99,4
u2927,festival,d9,0.81,0.79,4
u3840,wedding,d17,0.97,0.83,3
u3449,party,d76,0.9,0.75,3
u2021,wedding,d140,0.87,0.72,4
u3020,party,d99,0.6,0.99,5
u4184,formal,d159,0.7,0.93,3
u451,formal,d127,0.65,0.87,5
u1648,party,d78,0.86,0.71,5
u239,festival,d66,0.88,0.74,4
u443,reception,d53,0.84,0.81,3
u4020,party,d192,0.99,0.72,4
u3846,wedding,d24,0.69,0.9,3
u1173,wedding,d90,0.92,0.61,3
u3218,reception,d36,0.8,0.64,5
u3715,college,d194,0.64,0.73,5
u1175,festival,d153,0.64,0.87,4
u1635,formal,d96,0.76,0.97,5
u3182,wedding,d26,0.81,0.63,5
u4620,party,d56,0.82,0.97,3
u4055,college,d3,0.94,0.63,4
u776,reception,d136,0.73,0.61,5
u4570,formal,d67,0.63,0.75,4
u3452,wedding,d173,0.84,0.83,4
u2567,formal,d98,0.82,0.95,3
u4057,college,d116,0.84,0.62,3
u1553,reception,d193,0.83,0.67,4
u4388,festival,d49,0.65,0.68,4
u1902,reception,d46,0.92,0.9,5
u817,formal,d123,0.75,0.64,4
u816,festival,d92,0.85,0.9,5
u288,reception,d193,0.95,0.95,3
u189,college,d129,0.6,0.92,5
u3382,wedding,d26,0.84,0.68,4
u403,festival,d131,0.88,0.92,3
u2811,festival,d178,0.93,0.61,5
u2106,party,d113,0.74,0.69,3
u320,party,d51,0.79,0.74,3
u1561,reception,d53,0.87,0.98,3
u1099,wedding,d82,1.0,0.78,3
u1628,wedding,d140,0.92,0.86,4
u4191,formal,d39,0.73,0.95,3
u1004,formal,d101,0.65,0.72,5
u632,party,d40,0.8,0.66,4
u551,formal,d123,0.86,0.8,5
u2056,wedding,d170,0.8,0.86,4
u3963,festival,d66,0.67,0.99,5
u2948,party,d128,0.65,0.68,3
u3242,reception,d46,0.78,0.66,3
u3088,reception,d80,0.66,0.92,3
u3279,formal,d161,1.0,0.69,4
u1563,festival,d117,0.66,0.63,4
u92,wedding,d163,0.96,0.79,5
u53,festival,d153,0.83,0.98,5
u1611,festival,d115,0.91,0.8,3
u1168,party,d135,0.85,0.88,4
u3684,reception,d136,0.76,0.81,3
u4191,festival,d197,0.91,0.72,3
u2387,reception,d12,0.82,0.63,4
u1370,festival,d115,0.7,0.98,3
u1815,wedding,d140,0.64,0.92,4
u4748,party,d180,0.75,0.71,4
u4494,festival,d106,0.8,0.78,4
u169,college,d10,0.75,0.8,4
u1954,formal,d72,0.88,0.76,5
u2538,reception,d80,0.61,0.67,4
u4600,festival,d62,0.82,0.84,5
u2539,party,d137,0.74,0.95,4
u3673,formal,d125,0.93,0.68,3
u4768,formal,d89,0.76,0.94,4
u2216,formal,d64,0.97,0.73,3
u1056,festival,d153,0.93,0.91,5
u1031,formal,d84,0.81,0.91,3
u2420,party,d78,0.77,0.69,3
u3952,festival,d105,0.64,0.81,5
u1407,college,d13,0.82,0.88,3
u4328,college,d16,0.85,0.93,3
u2967,festival,d102,0.97,0.89,3
u1773,party,d113,0.92,0.82,5
u1567,college,d10,0.7,0.66,4
u4678,party,d54,0.79,0.9,4
u45,reception,d20,0.66,0.73,5
u2438,formal,d123,0.85,0.61,4
u4280,formal,d22,0.83,0.75,3
u4563,wedding,d30,0.66,0.92,5
u2832,festival,d25,0.93,0.7,5
u678,wedding,d112,0.91,0.95,3
u4918,wedding,d167,0.68,0.72,5
u881,wedding,d94,0.79,0.74,4
u2814,college,d91,0.64,0.87,3
u4159,party,d54,0.93,0.96,3
u858,wedding,d118,0.83,0.72,5
u4072,wedding,d190,0.7,0.79,5
u2022,college,d172,0.91,0.66,5
u2150,college,d45,0.83,0.83,3
u937,reception,d187,0.97,0.63,4
u271,formal,d77,0.64,0.69,3
u4798,festival,d43,0.61,0.64,3
u1083,festival,d117,0.76,0.94,3
u3211,festival,d169,0.85,0.99,3
u1680,festival,d148,0.87,0.87,5
u4682,reception,d60,0.63,0.88,5
u4320,formal,d171,0.86,0.81,3
u4568,party,d121,0.93,0.94,5
u4695,formal,d96,0.77,0.72,5
u2360,college,d122,0.95,0.8,3
u3069,college,d13,0.97,0.96,4
u303,reception,d53,0.88,0.85,3
u3061,reception,d187,0.81,0.92,4
u725,festival,d105,0.66,0.99,3
u1499,wedding,d190,0.84,0.79,5
u1059,formal,d195,0.6,0.62,5
u1629,festival,d177,0.68,0.73,5
u1846,wedding,d140,0.88,0.89,5
u1291,party,d192,0.92,0.95,5
u909,reception,d47,0.79,0.61,5
u1163,festival,d105,0.85,0.82,5
u94,wedding,d2,0.69,0.89,5
u3754,wedding,d2,0.81,0.65,5
u2253,wedding,d28,0.66,0.69,3
u4946,formal,d38,0.72,0.96,5
u4484,wedding,d173,0.85,0.72,4
u3076,reception,d141,0.88,0.98,3
u4679,college,d199,0.9,0.84,5
u1628,wedding,d23,1.0,0.92,5
u3971,wedding,d154,0.88,0.83,5
u471,wedding,d176,0.9,0.7,3
u186,formal,d21,0.91,0.99,3
u499,formal,d64,0.94,0.84,4
u2335,festival,d115,0.77,0.93,5
u1358,formal,d142,0.96,0.85,4
u3646,festival,d183,0.98,0.7,3
u2946,wedding,d97,0.72,0.83,3
u2532,college,d116,0.96,0.83,3
u4346,wedding,d176,0.65,0.69,4
u4731,party,d137,0.98,0.95,5
u4019,formal,d73,0.69,0.69,4
u3042,formal,d125,0.81,0.7,3
u3117,college,d33,0.96,0.8,4
u3716,party,d78,0.96,0.73,4
u1040,reception,d60,0.86,0.76,3
u1626,festival,d153,0.93,0.86,4
u241,reception,d60,0.73,0.94,3
u4912,college,d61,0.87,0.85,5
u4171,party,d158,0.74,0.78,3
u4061,formal,d161,0.72,0.87,5
u4327,wedding,d83,0.98,0.75,5
u1443,party,d121,0.66,0.89,4
u2118,formal,d142,0.88,0.71,4
u1376,formal,d147,0.93,0.65,3
u501,wedding,d118,0.71,0.86,5
u583,wedding,d24,0.83,0.69,5
u3110,formal,d21,0.8,0.72,4
u4590,formal,d98,0.8,0.99,4
u2757,wedding,d175,0.63,0.62,5
u2901,formal,d145,0.63,0.88,4
u1673,reception,d181,0.91,0.92,4
u582,college,d19,0.93,0.83,4
u2935,party,d81,0.68,0.68,3
u391,festival,d69,0.75,0.65,4
u4386,festival,d62,0.63,0.74,3
u4285,formal,d48,0.94,0.62,5
u2916,college,d16,0.85,0.98,5
u3102,party,d1,0.85,0.9,3
u3287,wedding,d154,0.75,0.75,3
u3273,reception,d12,0.77,0.87,5
u4941,party,d182,0.72,0.97,4
u3656,formal,d159,0.83,0.78,4
u523,reception,d120,0.7,0.92,5
u3128,wedding,d30,0.63,0.82,3
u371,college,d13,0.68,0.77,3
u25,party,d128,0.7,0.8,5
u2425,reception,d200,0.67,0.98,4
u3181,formal,d164,0.61,0.69,3
u2937,party,d151,0.98,0.9,5
u3228,formal,d48,0.71,0.87,4
u2782,reception,d57,0.62,0.72,4
u4426,college,d63,0.62,0.84,4
u1625,college,d156,0.81,0.71,3
u1417,party,d54,0.68,0.94,4
u3406,party,d128,0.7,0.96,3
u2201,party,d40,0.69,0.91,5
u2058,college,d168,0.89,0.7,3
u3637,formal,d145,0.83,0.91,5
u2499,formal,d142,0.82,0.68,3
u4846,festival,d69,0.99,1.0,4
u4166,college,d33,0.87,0.6,4
u2896,party,d65,0.85,0.83,4
u2725,reception,d36,0.63,0.89,5
u1075,formal,d123,0.68,0.86,3
u906,wedding,d26,0.77,0.86,5
u1299,college,d129,0.85,0.68,3
u2780,wedding,d150,0.89,0.68,5
u4726,party,d95,0.61,0.96,4
u1775,formal,d164,0.6,0.94,5
u1876,formal,d74,0.83,0.96,3
u3986,college,d35,0.78,0.98,4
u1261,festival,d9,0.75,0.97,3
u4434,formal,d64,0.69,0.78,5
u3703,formal,d104,0.69,0.98,5
u3729,reception,d193,0.84,0.99,4
u1020,party,d133,0.96,0.65,5
u375,formal,d64,0.69,0.77,5
u3230,wedding,d29,0.78,0.71,3
u2444,festival,d49,0.62,0.78,3
u1355,college,d16,0.79,0.96,3
u2384,reception,d152,0.66,0.68,3
u2803,reception,d8,0.67,0.69,5
u3414,wedding,d150,0.63,0.74,3
u2625,party,d40,0.82,0.83,4
u3147,festival,d34,0.7,0.98,4
u1642,formal,d21,0.88,0.66,4
u3908,formal,d48,0.7,0.83,4
u939,party,d135,0.6,0.63,4
u2041,college,d124,0.63,0.94,3
u4710,formal,d6,0.68,0.8,3
u4878,festival,d102,0.68,0.89,5
u2864,festival,d153,0.81,0.88,3
u516,wedding,d162,0.75,0.66,4
u2730,wedding,d162,0.88,0.66,3
u2805,wedding,d29,0.61,0.62,5
u573,party,d121,0.79,0.8,3
u4908,party,d32,0.88,0.6,3
u3188,reception,d5,0.93,0.85,3
u4466,formal,d73,0.76,0.78,5
u431,formal,d104,0.68,0.83,4
u4108,party,d121,0.79,0.78,5
u3974,festival,d108,0.99,0.61,4
u1867,party,d40,0.7,0.95,4
u2055,college,d16,0.77,0.69,4
u4384,formal,d7,0.93,0.98,3
u2193,reception,d193,0.61,0.96,4
u3594,festival,d49,0.77,0.87,5
u4295,party,d95,0.66,0.82,5
u1592,festival,d111,0.69,0.84,5
u4577,formal,d14,0.8,0.93,4
u3760,wedding,d29,0.71,0.93,3
u2232,formal,d7,0.86,0.87,5
u3550,festival,d9,0.98,0.98,5
u1143,festival,d49,0.84,0.75,4
u3301,party,d132,0.96,0.86,3
u1671,wedding,d4,0.85,0.77,4
u27,college,d155,0.95,0.67,3
u726,festival,d186,0.66,0.94,4
u2984,reception,d87,0.83,0.98,3
u665,reception,d120,0.89,0.71,5
u3340,reception,d36,0.98,0.83,5
u97,reception,d53,0.67,0.61,5
u1210,college,d61,0.94,0.9,5
u4632,wedding,d196,0.72,0.77,3
u1769,wedding,d83,0.74,0.66,5
u4840,college,d70,0.62,0.75,3
u4694,reception,d58,0.78,0.81,4
u3180,wedding,d83,0.89,0.95,5
u2974,reception,d11,0.62,0.63,3
u1769,formal,d147,0.68,0.64,3
u4324,wedding,d170,0.64,0.82,3
u2252,formal,d38,0.79,0.64,3
u807,college,d130,0.86,0.97,4
u2611,formal,d104,1.0,0.87,5
u1757,college,d35,0.62,0.66,4
u2269,reception,d80,1.0,0.68,4
u1834,festival,d177,1.0,0.91,3
u2379,festival,d25,0.7,0.96,3
u1596,party,d42,0.71,0.97,4
u1795,reception,d181,0.63,0.9,4
u803,wedding,d82,0.63,0.74,4
u2155,formal,d73,0.64,0.61,3
u4213,party,d192,0.64,0.85,3
u1081,party,d54,0.9,0.83,3
u1957,reception,d46,0.9,0.77,4
u4483,college,d130,0.61,0.61,3
u2636,formal,d21,0.67,0.85,4
u2728,formal,d104,0.66,0.83,3
u2112,festival,d49,0.84,0.76,4
u2279,party,d40,0.73,0.9,3
u2207,party,d132,0.72,0.97,4
u2691,formal,d161,0.94,0.63,5
u420,festival,d69,0.9,0.88,5
u2524,reception,d193,0.77,0.71,3
u1438,wedding,d157,0.86,0.6,4
u1286,festival,d197,0.61,0.71,5
u3373,festival,d25,0.84,0.77,5
u2213,formal,d179,0.74,0.81,5
u3572,wedding,d24,0.8,0.9,4
u2343,wedding,d90,0.82,0.85,5
u2450,wedding,d17,0.93,0.67,5
u1412,wedding,d59,0.98,0.62,5
u4843,formal,d21,0.81,0.69,3
u3158,festival,d177,0.89,0.72,4
u2535,wedding,d162,0.86,0.98,3
u888,reception,d60,0.96,0.83,3
u3860,wedding,d2,0.8,0.93,3
u2707,formal,d123,0.95,0.64,4
u1461,college,d33,0.64,0.97,4
u2596,festival,d131,0.79,0.7,4
u385,formal,d96,0.93,0.64,3
u2274,formal,d145,0.66,0.74,3
u4314,college,d129,0.66,0.87,5
u2710,college,d129,0.69,0.77,3
u564,party,d99,0.67,0.91,5
u3434,formal,d71,0.78,0.62,4
u3734,festival,d114,0.94,0.61,5
u1782,formal,d7,0.94,0.91,4
u1218,wedding,d173,0.71,0.84,3
u1652,college,d172,0.75,1.0,3
u361,party,d191,0.95,0.82,4
u4664,wedding,d26,0.98,0.63,4
u3201,party,d76,0.99,0.77,3
u4954,college,d70,0.6,0.9,4
u1232,college,d194,0.63,0.98,4
u4817,formal,d104,0.8,0.81,5
u143,formal,d123,0.92,0.91,4
u2934,party,d109,0.9,0.77,5
u2156,wedding,d90,0.89,0.96,4
u362,party,d42,0.9,0.92,4
u2056,party,d132,0.61,0.69,3
u559,reception,d58,0.79,0.71,3
u2811,party,d132,0.81,0.79,4
u1505,festival,d69,0.93,0.63,5
u2358,wedding,d90,0.63,0.71,3
u2172,formal,d171,0.84,0.73,3
u4611,festival,d102,0.9,0.75,4
u426,reception,d166,0.98,0.83,5
u1721,party,d76,0.71,0.91,4
u3350,college,d13,0.71,0.97,3
u3120,party,d54,0.97,0.7,3
u2367,college,d146,0.78,0.79,3
u630,college,d156,0.83,0.96,3
u3721,reception,d166,0.95,0.82,5
u1853,college,d93,0.65,0.93,4
u4142,festival,d117,0.97,0.74,5
u144,festival,d115,0.85,0.85,5
u2949,formal,d22,0.68,0.87,5
u468,party,d32,0.84,0.81,4
u2983,formal,d84,0.9,0.88,3
u852,reception,d120,0.9,0.85,4
u3123,festival,d49,0.82,0.71,4
u2919,festival,d117,0.91,0.83,5
u4278,reception,d20,0.97,0.64,4
u477,formal,d73,0.82,0.77,3
u666,wedding,d23,0.83,0.79,5
u2192,formal,d149,0.89,0.86,4
u3029,college,d91,0.6,0.72,3
u748,wedding,d90,0.97,0.88,4
u512,reception,d110,0.81,0.73,5
u1429,formal,d7,0.76,0.66,4
u4820,festival,d177,0.62,0.82,5
u2346,reception,d47,0.65,0.89,5
u4929,reception,d41,0.78,0.71,3
u3658,party,d191,0.94,0.95,3
u1865,formal,d55,0.69,0.71,3
u1079,reception,d50,0.81,0.88,3
u1280,reception,d15,0.75,0.75,5
u2833,college,d172,0.83,0.9,3
u3746,party,d78,0.67,0.82,4
u3361,festival,d107,0.72,0.74,5
u4400,wedding,d118,0.84,0.69,5
u705,formal,d159,0.9,0.61,5
u1790,party,d121,0.71,0.66,4
u4574,formal,d96,0.79,1.0,3
u3766,reception,d139,0.96,0.9,3
u2287,reception,d36,0.88,0.96,5
u4343,festival,d9,0.64,0.86,5
u871,wedding,d163,0.6,0.79,3
u4719,wedding,d59,0.87,0.68,4
u2606,reception,d110,0.72,0.65,4
u1198,party,d132,0.85,0.82,3
u1763,reception,d20,0.95,0.88,3
u3572,party,d137,0.66,0.71,5
u3857,formal,d73,0.72,0.76,4
u579,reception,d11,0.9,0.87,3
u3977,reception,d87,0.73,0.89,4
u1628,college,d172,0.62,0.89,5
u2192,wedding,d86,0.93,0.67,5
u1026,party,d99,0.66,0.94,5
u3792,reception,d188,0.77,0.69,5
u3520,reception,d53,0.81,0.88,3
u3381,reception,d47,0.9,0.71,3
u2952,festival,d117,0.93,0.77,3
u1667,college,d172,0.71,0.82,4
u2121,wedding,d173,0.89,0.91,4
u3762,party,d135,0.92,0.81,5
u245,party,d158,0.79,0.69,4
u313,formal,d185,0.85,0.91,5
u4445,formal,d38,0.65,0.67,4
u4769,festival,d106,0.6,0.71,5
u2628,formal,d77,0.87,0.66,5
u2899,reception,d37,0.98,0.66,3
u4235,festival,d92,0.89,0.99,5
u520,formal,d18,0.65,0.61,5
u4724,formal,d127,0.91,0.65,3
u4533,wedding,d17,0.95,0.73,4
u3773,reception,d8,0.75,0.63,3
u3687,party,d65,0.73,0.66,3
u2227,festival,d186,0.65,0.75,4
u652,party,d42,0.68,0.67,4
u1419,reception,d187,0.99,0.88,4
u543,festival,d69,0.89,0.98,5
u4657,college,d68,0.72,0.61,3
u1746,college,d199,0.83,0.89,5
u4617,wedding,d94,0.88,0.88,3
u4473,party,d109,0.94,0.99,3
u2968,party,d65,0.67,1.0,4
u400,party,d32,0.61,0.88,4
u2443,wedding,d196,0.82,0.71,3
u3052,wedding,d190,0.79,0.76,4
u4085,festival,d177,0.64,0.91,5
u3040,party,d191,0.89,0.86,3
u3685,formal,d143,0.72,1.0,4
u468,party,d182,0.8,0.98,5
u2165,college,d91,0.9,0.88,4
u2762,party,d76,0.7,0.7,4
u1527,college,d35,0.71,0.77,4
u2958,college,d172,0.77,0.79,4
u4246,formal,d48,0.7,0.94,5
u729,formal,d84,0.76,0.71,3
u3017,party,d191,0.9,0.61,4
u3150,college,d93,0.93,0.72,3
u4259,festival,d117,0.84,0.94,5
u753,festival,d69,0.86,0.6,4
u4096,formal,d89,0.88,0.65,5
u2924,party,d192,0.91,0.65,5
u304,formal,d39,0.88,0.95,4
u1814,college,d116,0.92,0.62,3
u1316,wedding,d94,0.79,0.89,5
u393,formal,d71,0.75,1.0,5
u2592,party,d40,0.88,0.93,4
u425,formal,d6,0.99,0.84,3
u1242,reception,d58,0.83,0.6,3
u21,festival,d25,0.88,0.83,5
u1834,reception,d200,0.97,0.84,5
u1372,festival,d88,0.61,0.77,4
u4384,college,d63,0.88,0.77,4
u1818,party,d1,0.89,0.99,4
