product_id,product_name,skin_type,product_category,price_range
2613,Cleanser L 483,Sensitive,Cleanser,Medium
6811,Moisturizer F 511,Dry,Moisturizer,Medium
3278,Serum O 708,Normal,Serum,High
6978,Cleanser Q 205,Oily,Cleanser,Low
1075,Sunscreen C 208,Normal,Sunscreen,Medium
2313,Cleanser G 329,Normal,Cleanser,Low
1014,Moisturizer K 114,Normal,Moisturizer,Low
9978,Moisturizer A 411,Oily,Moisturizer,Low
5354,Cleanser G 202,Normal,Cleanser,Low
4618,Serum E 459,Oily,Serum,High
8199,Moisturizer F 935,Dry,Moisturizer,Medium
7151,Toner I 965,Oily,Toner,Medium
2995,Toner D 872,Sensitive,Toner,Low
9067,Sunscreen H 700,Sensitive,Sunscreen,Medium
9158,Sunscreen H 363,Sensitive,Sunscreen,Medium
1762,Moisturizer A 754,Oily,Moisturizer,Low
706,Sunscreen H 295,Sensitive,Sunscreen,Medium
8230,Toner S 617,Normal,Toner,Medium
9681,Sunscreen R 805,Dry,Sunscreen,Medium
4917,Cleanser G 515,Normal,Cleanser,Low
275,Serum T 664,Sensitive,Serum,High
3770,Moisturizer A 831,Oily,Moisturizer,Low
8774,Serum J 635,Dry,Serum,High
4254,Moisturizer F 293,Dry,Moisturizer,Medium
9091,Toner I 473,Oily,Toner,Medium
8834,Moisturizer F 51,Dry,Moisturizer,Medium
5345,Moisturizer K 946,Normal,Moisturizer,Low
3566,Serum O 797,Normal,Serum,High
5862,Serum T 457,Sensitive,Serum,High
4682,Moisturizer P 105,Sensitive,Moisturizer,Medium
8972,Toner I 127,Oily,Toner,Medium
6127,Cleanser B 366,Dry,Cleanser,Medium
6593,Toner S 59,Normal,Toner,Medium
6379,Moisturizer K 396,Normal,Moisturizer,Low
7050,Serum J 682,Dry,Serum,High
2129,Serum E 222,Oily,Serum,High
2980,Serum O 442,Normal,Serum,High
5952,Sunscreen C 277,Normal,Sunscreen,Medium
2150,Toner N 732,Dry,Toner,Low
529,Moisturizer K 546,Normal,Moisturizer,Low
5228,Sunscreen C 78,Normal,Sunscreen,Medium
5700,Moisturizer P 418,Sensitive,Moisturizer,Medium
2701,Moisturizer P 267,Sensitive,Moisturizer,Medium
9676,Toner I 21,Oily,Toner,Medium
8658,Cleanser G 405,Normal,Cleanser,Low
