user_id,gender,age,height_cm,weight_kg,body_type,skin_tone,hair_type,hair_color
U1,female,23,166.0,75,pear,medium,wavy,Black
U2,female,27,149.0,61,athletic,dark,straight,Brown
U3,female,23,170.0,61,rectangle,fair,curly,Brown
U4,female,29,163.0,54,rectangle,fair,wavy,Black
U5,female,24,153.0,51,rectangle,fair,wavy,Black
U6,female,22,153.0,57,athletic,dark,wavy,Black
U7,female,34,165.0,58,athletic,medium,wavy,Blonde
U8,female,20,155.0,61,hourglass,medium,curly,Black
U9,female,28,145.0,62,hourglass,medium,curly,Brown
U10,female,27,156.0,64,hourglass,medium,curly,Black
U11,female,35,149.0,48,apple,dark,curly,Brown
U12,female,31,159.0,70,rectangle,dark,curly,Blonde
U13,female,18,171.0,69,athletic,medium,wavy,Blonde
U14,female,30,171.0,51,hourglass,dark,straight,Brown
U15,female,22,161.0,62,hourglass,dark,straight,Brown
U16,female,33,167.0,63,rectangle,medium,curly,Brown
U17,female,21,168.0,49,rectangle,fair,curly,Brown
U18,female,34,171.0,61,apple,dark,wavy,Blonde
U19,female,35,150.0,59,apple,fair,curly,Brown
U20,female,24,154.0,66,hourglass,dark,straight,Black
U21,female,19,152.0,63,hourglass,dark,curly,Black
U22,female,21,173.0,52,hourglass,fair,curly,Brown
U23,female,28,166.0,51,pear,medium,wavy,Blonde
U24,female,21,162.0,75,athletic,dark,curly,Brown
U25,female,21,158.0,66,athletic,fair,wavy,Brown
U26,female,33,157.0,72,hourglass,medium,curly,Brown
U27,female,29,162.0,69,pear,dark,wavy,Blonde
U28,female,34,147.0,67,rectangle,fair,curly,Black
U29,female,21,159.0,72,athletic,fair,wavy,Blonde
U30,female,28,149.0,45,rectangle,dark,wavy,Black
U31,female,23,155.0,71,apple,fair,wavy,Black
U32,female,29,165.0,55,rectangle,fair,straight,Brown
U33,female,21,163.0,70,pear,dark,wavy,Black
U34,female,29,167.0,47,athletic,fair,curly,Brown
U35,female,28,157.0,72,athletic,medium,curly,Black
U36,female,32,148.0,75,hourglass,medium,wavy,Blonde
U37,female,24,166.0,49,rectangle,fair,wavy,Black
U38,female,35,152.0,61,apple,medium,wavy,Brown
U39,female,21,149.0,46,pear,dark,wavy,Brown
U40,female,26,151.0,69,hourglass,medium,curly,Blonde
U41,female,29,145.0,56,apple,medium,wavy,Black
U42,female,32,153.0,56,hourglass,medium,wavy,Blonde
U43,female,19,152.0,54,pear,dark,wavy,Brown
U44,female,19,165.0,61,rectangle,fair,curly,Blonde
U45,female,32,159.0,71,hourglass,fair,curly,Brown
U46,female,34,161.0,61,pear,medium,wavy,Brown
U47,female,31,150.0,59,hourglass,medium,straight,Black
U48,female,31,173.0,69,pear,fair,straight,Blonde
U49,female,30,157.0,67,rectangle,medium,wavy,Blonde
U50,female,33,151.0,47,rectangle,medium,wavy,Black
U51,female,35,160.0,53,pear,fair,straight,Blonde
U52,female,19,162.0,49,apple,dark,wavy,Black
U53,female,26,169.0,64,rectangle,medium,straight,Black
U54,female,31,147.0,50,rectangle,dark,straight,Brown
U55,female,27,174.0,46,pear,medium,curly,Black
U56,female,19,159.0,69,athletic,dark,wavy,Brown
U57,female,31,159.0,50,apple,fair,curly,Blonde
U58,female,22,146.0,65,rectangle,fair,straight,Brown
U59,female,30,157.0,73,athletic,dark,curly,Black
U60,female,23,167.0,64,athletic,medium,straight,Brown
U61,female,32,162.0,57,apple,dark,straight,Blonde
U62,female,33,159.0,75,rectangle,medium,curly,Brown
U63,female,26,158.0,60,athletic,medium,curly,Black
U64,female,19,155.0,74,pear,medium,curly,Brown
U65,female,32,150.0,51,apple,fair,straight,Black
U66,female,34,157.0,61,athletic,fair,wavy,Blonde
U67,female,21,175.0,73,rectangle,fair,wavy,Black
U68,female,22,167.0,49,rectangle,medium,straight,Brown
U69,female,34,167.0,71,hourglass,dark,curly,Black
U70,female,20,155.0,68,apple,medium,curly,Brown
U71,female,23,163.0,58,athletic,fair,wavy,Blonde
U72,female,19,165.0,74,pear,fair,wavy,Black
U73,female,22,147.0,71,apple,fair,wavy,Blonde
U74,female,25,153.0,49,hourglass,fair,wavy,Black
U75,female,20,158.0,52,apple,fair,straight,Blonde
U76,female,27,151.0,56,rectangle,medium,straight,Black
U77,female,30,154.0,68,apple,fair,wavy,Black
U78,female,24,168.0,71,rectangle,dark,straight,Brown
U79,female,35,157.0,74,rectangle,medium,curly,Blonde
U80,female,25,165.0,69,athletic,dark,straight,Black
U81,female,18,150.0,55,apple,dark,curly,Black
U82,female,33,170.0,56,apple,fair,straight,Brown
