user_id,event_type,dress_id,body_match_score,style_score,final_rating
U3936,Wedding,D176,0.63,0.95,3
U2095,Wedding,D160,0.72,0.91,3
U744,Wedding,D28,0.61,0.91,4
U3748,Reception,D80,0.99,0.64,5
U3941,Reception,D139,0.65,0.84,4
U333,Reception,D15,0.69,0.87,4
U3451,Formal,D159,0.78,0.88,4
U1118,Wedding,D2,0.7,0.76,4
U3702,Festival,D9,0.76,1.0,4
U1679,College,D13,0.62,0.74,5
U2675,Festival,D43,0.69,0.66,3
U3148,Formal,D84,0.75,0.76,3
U3810,Formal,D123,0.84,0.72,3
U4835,College,D172,0.7,0.95,3
U383,Festival,D108,0.87,0.86,5
U882,Reception,D41,0.93,0.89,5
U671,Wedding,D140,0.91,0.71,5
U362,Formal,D147,0.69,0.91,4
U740,Reception,D8,0.68,0.98,4
U52,Formal,D48,0.85,0.74,4
U4729,Reception,D188,0.86,0.68,3
U4987,Party,D65,0.9,0.65,5
U4041,Wedding,D90,0.64,0.67,4
U3976,Formal,D127,0.7,0.87,5
U497,Wedding,D170,0.98,0.6,4
U152,Formal,D171,0.86,0.6,3
U1403,Formal,D125,0.63,0.7,3
U2717,Festival,D105,0.67,0.99,3
U2353,Formal,D7,0.98,0.86,3
U859,Wedding,D86,0.66,0.8,3
U2968,College,D13,0.67,0.73,3
U3458,Festival,D25,0.87,0.65,3
U201,Festival,D186,0.86,0.94,4
U536,Festival,D34,0.77,0.6,4
U3466,Formal,D73,0.76,0.99,3
U1479,Formal,D64,0.86,0.67,5
U2447,Reception,D141,0.96,0.77,5
U4310,Festival,D92,0.85,0.91,4
U785,Reception,D152,0.85,0.8,4
U4504,Wedding,D150,0.68,0.92,4
U3378,Festival,D178,0.88,0.97,4
U3336,College,D168,0.98,0.66,3
U3096,Reception,D57,0.73,0.99,3
U4665,Wedding,D112,0.62,0.75,4
U859,Party,D151,0.9,0.66,5
U899,Reception,D141,0.71,0.7,5
U712,Formal,D27,0.62,0.76,3
U2966,Formal,D144,0.73,0.92,3
U4769,Formal,D161,0.71,0.92,5
U2612,Formal,D75,0.7,0.74,4
U2868,Formal,D22,0.7,0.78,4
U3511,Reception,D15,0.77,0.7,3
U698,Wedding,D29,0.96,0.87,3
U317,Formal,D84,0.74,0.73,5
U3296,College,D61,1.0,0.67,4
U1675,Festival,D88,0.72,0.85,4
U1493,Formal,D89,0.62,0.92,5
U698,Formal,D127,0.85,0.84,4
U4957,Party,D158,0.74,0.68,5
U4209,Festival,D117,0.82,0.79,3
U2794,Formal,D171,0.78,0.62,4
U1202,Festival,D43,0.82,0.78,3
U4959,Wedding,D175,0.86,0.86,3
U2782,Reception,D11,0.93,0.76,3
U286,Party,D165,0.65,0.87,4
U76,Party,D40,0.7,0.72,5
U1747,Festival,D183,0.71,0.84,3
U3998,Wedding,D94,0.86,0.83,5
U3750,Reception,D20,0.83,0.91,3
U4899,Wedding,D175,0.9,0.77,5
U2957,College,D3,0.95,0.83,3
U2677,Reception,D53,0.68,0.92,5
U2544,Wedding,D154,0.68,0.66,4
U1231,Wedding,D29,0.82,0.66,5
U4329,Wedding,D4,0.82,0.8,5
U3993,Reception,D120,0.87,0.69,5
U3363,Festival,D148,0.66,0.98,3
U3118,Wedding,D160,0.99,0.82,4
U3915,Formal,D55,0.89,0.86,5
U922,Formal,D149,0.66,0.72,3
U3020,Wedding,D23,0.74,0.68,4
U1540,Formal,D144,1.0,0.92,3
U2815,Festival,D49,0.94,0.95,4
U2863,Formal,D38,0.7,0.96,3
U2673,Wedding,D160,0.77,0.92,3
U1597,Reception,D193,0.84,0.79,3
U2758,Festival,D49,0.75,0.66,5
U982,Party,D151,0.99,0.87,3
U2408,Formal,D77,0.7,0.86,3
U1717,Wedding,D175,0.71,0.79,4
U595,Wedding,D28,0.65,0.69,3
U4677,Reception,D41,0.84,0.84,5
U1846,Party,D191,0.77,0.71,5
U3787,College,D33,1.0,0.77,4
U3708,Reception,D15,0.85,0.9,5
U118,Wedding,D83,0.92,0.92,5
U1980,Wedding,D175,0.92,0.8,4
U925,Reception,D46,0.62,0.77,3
U3742,Formal,D164,0.8,0.95,5
U3152,Formal,D72,0.84,0.86,3
U4440,Reception,D44,0.82,0.61,5
U1146,Festival,D186,0.64,0.95,5
U2463,College,D124,0.8,0.8,3
U2613,Party,D137,1.0,0.61,5
U210,Festival,D131,0.7,0.88,5
U419,Festival,D119,0.68,0.91,3
U813,Reception,D37,0.99,0.68,5
U2868,Festival,D25,0.83,0.87,4
U3268,Wedding,D2,0.79,0.77,4
U2740,Reception,D120,0.76,1.0,4
U2744,College,D16,0.9,0.82,3
U3679,Reception,D44,0.92,0.66,4
U1984,Party,D1,0.73,0.92,4
U3004,Party,D99,0.74,0.88,5
U2170,College,D13,0.78,0.86,3
U3634,Formal,D21,0.71,0.99,4
U1557,Wedding,D24,0.94,0.97,3
U1261,Festival,D106,0.98,0.66,3
U4339,Wedding,D160,0.94,0.73,5
U764,College,D63,0.63,0.79,3
U2770,Festival,D49,0.64,0.73,5
U886,Party,D128,0.97,0.74,4
U4197,Wedding,D94,0.92,0.82,5
U2052,Formal,D67,0.79,0.84,3
U4240,Festival,D178,0.86,0.91,5
U4173,Formal,D127,0.89,0.78,5
U1420,Formal,D55,0.65,0.99,4
U2927,Festival,D9,0.81,0.79,4
U3840,Wedding,D17,0.97,0.83,3
U3449,Party,D76,0.9,0.75,3
U2021,Wedding,D140,0.87,0.72,4
U3020,Party,D99,0.6,0.99,5
U4184,Formal,D159,0.7,0.93,3
U451,Formal,D127,0.65,0.87,5
U1648,Party,D78,0.86,0.71,5
U239,Festival,D66,0.88,0.74,4
U443,Reception,D53,0.84,0.81,3
U4020,Party,D192,0.99,0.72,4
U3846,Wedding,D24,0.69,0.9,3
U1173,Wedding,D90,0.92,0.61,3
U3218,Reception,D36,0.8,0.64,5
U3715,College,D194,0.64,0.73,5
U1175,Festival,D153,0.64,0.87,4
U1635,Formal,D96,0.76,0.97,5
U3182,Wedding,D26,0.81,0.63,5
U4620,Party,D56,0.82,0.97,3
U4055,College,D3,0.94,0.63,4
U776,Reception,D136,0.73,0.61,5
U4570,Formal,D67,0.63,0.75,4
U3452,Wedding,D173,0.84,0.83,4
U2567,Formal,D98,0.82,0.95,3
U4057,College,D116,0.84,0.62,3
U1553,Reception,D193,0.83,0.67,4
U4388,Festival,D49,0.65,0.68,4
U1902,Reception,D46,0.92,0.9,5
U817,Formal,D123,0.75,0.64,4
U816,Festival,D92,0.85,0.9,5
U288,Reception,D193,0.95,0.95,3
U189,College,D129,0.6,0.92,5
U3382,Wedding,D26,0.84,0.68,4
U403,Festival,D131,0.88,0.92,3
U2811,Festival,D178,0.93,0.61,5
U2106,Party,D113,0.74,0.69,3
U320,Party,D51,0.79,0.74,3
U1561,Reception,D53,0.87,0.98,3
U1099,Wedding,D82,1.0,0.78,3
U1628,Wedding,D140,0.92,0.86,4
U4191,Formal,D39,0.73,0.95,3
U1004,Formal,D101,0.65,0.72,5
U632,Party,D40,0.8,0.66,4
U551,Formal,D123,0.86,0.8,5
U2056,Wedding,D170,0.8,0.86,4
U3963,Festival,D66,0.67,0.99,5
U2948,Party,D128,0.65,0.68,3
U3242,Reception,D46,0.78,0.66,3
U3088,Reception,D80,0.66,0.92,3
U3279,Formal,D161,1.0,0.69,4
U1563,Festival,D117,0.66,0.63,4
U92,Wedding,D163,0.96,0.79,5
U53,Festival,D153,0.83,0.98,5
U1611,Festival,D115,0.91,0.8,3
U1168,Party,D135,0.85,0.88,4
U3684,Reception,D136,0.76,0.81,3
U4191,Festival,D197,0.91,0.72,3
U2387,Reception,D12,0.82,0.63,4
U1370,Festival,D115,0.7,0.98,3
U1815,Wedding,D140,0.64,0.92,4
U4748,Party,D180,0.75,0.71,4
U4494,Festival,D106,0.8,0.78,4
U169,College,D10,0.75,0.8,4
U1954,Formal,D72,0.88,0.76,5
U2538,Reception,D80,0.61,0.67,4
U4600,Festival,D62,0.82,0.84,5
U2539,Party,D137,0.74,0.95,4
U3673,Formal,D125,0.93,0.68,3
U4768,Formal,D89,0.76,0.94,4
U2216,Formal,D64,0.97,0.73,3
U1056,Festival,D153,0.93,0.91,5
U1031,Formal,D84,0.81,0.91,3
U2420,Party,D78,0.77,0.69,3
U3952,Festival,D105,0.64,0.81,5
U1407,College,D13,0.82,0.88,3
U4328,College,D16,0.85,0.93,3
U2967,Festival,D102,0.97,0.89,3
U1773,Party,D113,0.92,0.82,5
U1567,College,D10,0.7,0.66,4
U4678,Party,D54,0.79,0.9,4
U45,Reception,D20,0.66,0.73,5
U2438,Formal,D123,0.85,0.61,4
U4280,Formal,D22,0.83,0.75,3
U4563,Wedding,D30,0.66,0.92,5
U2832,Festival,D25,0.93,0.7,5
U678,Wedding,D112,0.91,0.95,3
U4918,Wedding,D167,0.68,0.72,5
U881,Wedding,D94,0.79,0.74,4
U2814,College,D91,0.64,0.87,3
U4159,Party,D54,0.93,0.96,3
U858,Wedding,D118,0.83,0.72,5
U4072,Wedding,D190,0.7,0.79,5
U2022,College,D172,0.91,0.66,5
U2150,College,D45,0.83,0.83,3
U937,Reception,D187,0.97,0.63,4
U271,Formal,D77,0.64,0.69,3
U4798,Festival,D43,0.61,0.64,3
U1083,Festival,D117,0.76,0.94,3
U3211,Festival,D169,0.85,0.99,3
U1680,Festival,D148,0.87,0.87,5
U4682,Reception,D60,0.63,0.88,5
U4320,Formal,D171,0.86,0.81,3
U4568,Party,D121,0.93,0.94,5
U4695,Formal,D96,0.77,0.72,5
U2360,College,D122,0.95,0.8,3
U3069,College,D13,0.97,0.96,4
U303,Reception,D53,0.88,0.85,3
U3061,Reception,D187,0.81,0.92,4
U725,Festival,D105,0.66,0.99,3
U1499,Wedding,D190,0.84,0.79,5
U1059,Formal,D195,0.6,0.62,5
U1629,Festival,D177,0.68,0.73,5
U1846,Wedding,D140,0.88,0.89,5
U1291,Party,D192,0.92,0.95,5
U909,Reception,D47,0.79,0.61,5
U1163,Festival,D105,0.85,0.82,5
U94,Wedding,D2,0.69,0.89,5
U3754,Wedding,D2,0.81,0.65,5
U2253,Wedding,D28,0.66,0.69,3
U4946,Formal,D38,0.72,0.96,5
U4484,Wedding,D173,0.85,0.72,4
U3076,Reception,D141,0.88,0.98,3
U4679,College,D199,0.9,0.84,5
U1628,Wedding,D23,1.0,0.92,5
U3971,Wedding,D154,0.88,0.83,5
U471,Wedding,D176,0.9,0.7,3
U186,Formal,D21,0.91,0.99,3
U499,Formal,D64,0.94,0.84,4
U2335,Festival,D115,0.77,0.93,5
U1358,Formal,D142,0.96,0.85,4
U3646,Festival,D183,0.98,0.7,3
U2946,Wedding,D97,0.72,0.83,3
U2532,College,D116,0.96,0.83,3
U4346,Wedding,D176,0.65,0.69,4
U4731,Party,D137,0.98,0.95,5
U4019,Formal,D73,0.69,0.69,4
U3042,Formal,D125,0.81,0.7,3
U3117,College,D33,0.96,0.8,4
U3716,Party,D78,0.96,0.73,4
U1040,Reception,D60,0.86,0.76,3
U1626,Festival,D153,0.93,0.86,4
U241,Reception,D60,0.73,0.94,3
U4912,College,D61,0.87,0.85,5
U4171,Party,D158,0.74,0.78,3
U4061,Formal,D161,0.72,0.87,5
U4327,Wedding,D83,0.98,0.75,5
U1443,Party,D121,0.66,0.89,4
U2118,Formal,D142,0.88,0.71,4
U1376,Formal,D147,0.93,0.65,3
U501,Wedding,D118,0.71,0.86,5
U583,Wedding,D24,0.83,0.69,5
U3110,Formal,D21,0.8,0.72,4
U4590,Formal,D98,0.8,0.99,4
U2757,Wedding,D175,0.63,0.62,5
U2901,Formal,D145,0.63,0.88,4
U1673,Reception,D181,0.91,0.92,4
U582,College,D19,0.93,0.83,4
U2935,Party,D81,0.68,0.68,3
U391,Festival,D69,0.75,0.65,4
U4386,Festival,D62,0.63,0.74,3
U4285,Formal,D48,0.94,0.62,5
U2916,College,D16,0.85,0.98,5
U3102,Party,D1,0.85,0.9,3
U3287,Wedding,D154,0.75,0.75,3
U3273,Reception,D12,0.77,0.87,5
U4941,Party,D182,0.72,0.97,4
U3656,Formal,D159,0.83,0.78,4
U523,Reception,D120,0.7,0.92,5
U3128,Wedding,D30,0.63,0.82,3
U371,College,D13,0.68,0.77,3
U25,Party,D128,0.7,0.8,5
U2425,Reception,D200,0.67,0.98,4
U3181,Formal,D164,0.61,0.69,3
U2937,Party,D151,0.98,0.9,5
U3228,Formal,D48,0.71,0.87,4
U2782,Reception,D57,0.62,0.72,4
U4426,College,D63,0.62,0.84,4
U1625,College,D156,0.81,0.71,3
U1417,Party,D54,0.68,0.94,4
U3406,Party,D128,0.7,0.96,3
U2201,Party,D40,0.69,0.91,5
U2058,College,D168,0.89,0.7,3
U3637,Formal,D145,0.83,0.91,5
U2499,Formal,D142,0.82,0.68,3
U4846,Festival,D69,0.99,1.0,4
U4166,College,D33,0.87,0.6,4
U2896,Party,D65,0.85,0.83,4
U2725,Reception,D36,0.63,0.89,5
U1075,Formal,D123,0.68,0.86,3
U906,Wedding,D26,0.77,0.86,5
U1299,College,D129,0.85,0.68,3
U2780,Wedding,D150,0.89,0.68,5
U4726,Party,D95,0.61,0.96,4
U1775,Formal,D164,0.6,0.94,5
U1876,Formal,D74,0.83,0.96,3
U3986,College,D35,0.78,0.98,4
U1261,Festival,D9,0.75,0.97,3
U4434,Formal,D64,0.69,0.78,5
U3703,Formal,D104,0.69,0.98,5
U3729,Reception,D193,0.84,0.99,4
U1020,Party,D133,0.96,0.65,5
U375,Formal,D64,0.69,0.77,5
U3230,Wedding,D29,0.78,0.71,3
U2444,Festival,D49,0.62,0.78,3
U1355,College,D16,0.79,0.96,3
U2384,Reception,D152,0.66,0.68,3
U2803,Reception,D8,0.67,0.69,5
U3414,Wedding,D150,0.63,0.74,3
U2625,Party,D40,0.82,0.83,4
U3147,Festival,D34,0.7,0.98,4
U1642,Formal,D21,0.88,0.66,4
U3908,Formal,D48,0.7,0.83,4
U939,Party,D135,0.6,0.63,4
U2041,College,D124,0.63,0.94,3
U4710,Formal,D6,0.68,0.8,3
U4878,Festival,D102,0.68,0.89,5
U2864,Festival,D153,0.81,0.88,3
U516,Wedding,D162,0.75,0.66,4
U2730,Wedding,D162,0.88,0.66,3
U2805,Wedding,D29,0.61,0.62,5
U573,Party,D121,0.79,0.8,3
U4908,Party,D32,0.88,0.6,3
U3188,Reception,D5,0.93,0.85,3
U4466,Formal,D73,0.76,0.78,5
U431,Formal,D104,0.68,0.83,4
U4108,Party,D121,0.79,0.78,5
U3974,Festival,D108,0.99,0.61,4
U1867,Party,D40,0.7,0.95,4
U2055,College,D16,0.77,0.69,4
U4384,Formal,D7,0.93,0.98,3
U2193,Reception,D193,0.61,0.96,4
U3594,Festival,D49,0.77,0.87,5
U4295,Party,D95,0.66,0.82,5
U1592,Festival,D111,0.69,0.84,5
U4577,Formal,D14,0.8,0.93,4
U3760,Wedding,D29,0.71,0.93,3
U2232,Formal,D7,0.86,0.87,5
U3550,Festival,D9,0.98,0.98,5
U1143,Festival,D49,0.84,0.75,4
U3301,Party,D132,0.96,0.86,3
U1671,Wedding,D4,0.85,0.77,4
U27,College,D155,0.95,0.67,3
U726,Festival,D186,0.66,0.94,4
U2984,Reception,D87,0.83,0.98,3
U665,Reception,D120,0.89,0.71,5
U3340,Reception,D36,0.98,0.83,5
U97,Reception,D53,0.67,0.61,5
U1210,College,D61,0.94,0.9,5
U4632,Wedding,D196,0.72,0.77,3
U1769,Wedding,D83,0.74,0.66,5
U4840,College,D70,0.62,0.75,3
U4694,Reception,D58,0.78,0.81,4
U3180,Wedding,D83,0.89,0.95,5
U2974,Reception,D11,0.62,0.63,3
U1769,Formal,D147,0.68,0.64,3
U4324,Wedding,D170,0.64,0.82,3
U2252,Formal,D38,0.79,0.64,3
U807,College,D130,0.86,0.97,4
U2611,Formal,D104,1.0,0.87,5
U1757,College,D35,0.62,0.66,4
U2269,Reception,D80,1.0,0.68,4
U1834,Festival,D177,1.0,0.91,3
U2379,Festival,D25,0.7,0.96,3
U1596,Party,D42,0.71,0.97,4
U1795,Reception,D181,0.63,0.9,4
U803,Wedding,D82,0.63,0.74,4
U2155,Formal,D73,0.64,0.61,3
U4213,Party,D192,0.64,0.85,3
U1081,Party,D54,0.9,0.83,3
U1957,Reception,D46,0.9,0.77,4
U4483,College,D130,0.61,0.61,3
U2636,Formal,D21,0.67,0.85,4
U2728,Formal,D104,0.66,0.83,3
U2112,Festival,D49,0.84,0.76,4
U2279,Party,D40,0.73,0.9,3
U2207,Party,D132,0.72,0.97,4
U2691,Formal,D161,0.94,0.63,5
U420,Festival,D69,0.9,0.88,5
U2524,Reception,D193,0.77,0.71,3
U1438,Wedding,D157,0.86,0.6,4
U1286,Festival,D197,0.61,0.71,5
U3373,Festival,D25,0.84,0.77,5
U2213,Formal,D179,0.74,0.81,5
U3572,Wedding,D24,0.8,0.9,4
U2343,Wedding,D90,0.82,0.85,5
U2450,Wedding,D17,0.93,0.67,5
U1412,Wedding,D59,0.98,0.62,5
U4843,Formal,D21,0.81,0.69,3
U3158,Festival,D177,0.89,0.72,4
U2535,Wedding,D162,0.86,0.98,3
U888,Reception,D60,0.96,0.83,3
U3860,Wedding,D2,0.8,0.93,3
U2707,Formal,D123,0.95,0.64,4
U1461,College,D33,0.64,0.97,4
U2596,Festival,D131,0.79,0.7,4
U385,Formal,D96,0.93,0.64,3
U2274,Formal,D145,0.66,0.74,3
U4314,College,D129,0.66,0.87,5
U2710,College,D129,0.69,0.77,3
U564,Party,D99,0.67,0.91,5
U3434,Formal,D71,0.78,0.62,4
U3734,Festival,D114,0.94,0.61,5
U1782,Formal,D7,0.94,0.91,4
U1218,Wedding,D173,0.71,0.84,3
U1652,College,D172,0.75,1.0,3
U361,Party,D191,0.95,0.82,4
U4664,Wedding,D26,0.98,0.63,4
U3201,Party,D76,0.99,0.77,3
U4954,College,D70,0.6,0.9,4
U1232,College,D194,0.63,0.98,4
U4817,Formal,D104,0.8,0.81,5
U143,Formal,D123,0.92,0.91,4
U2934,Party,D109,0.9,0.77,5
U2156,Wedding,D90,0.89,0.96,4
U362,Party,D42,0.9,0.92,4
U2056,Party,D132,0.61,0.69,3
U559,Reception,D58,0.79,0.71,3
U2811,Party,D132,0.81,0.79,4
U1505,Festival,D69,0.93,0.63,5
U2358,Wedding,D90,0.63,0.71,3
U2172,Formal,D171,0.84,0.73,3
U4611,Festival,D102,0.9,0.75,4
U426,Reception,D166,0.98,0.83,5
U1721,Party,D76,0.71,0.91,4
U3350,College,D13,0.71,0.97,3
U3120,Party,D54,0.97,0.7,3
U2367,College,D146,0.78,0.79,3
U630,College,D156,0.83,0.96,3
U3721,Reception,D166,0.95,0.82,5
U1853,College,D93,0.65,0.93,4
U4142,Festival,D117,0.97,0.74,5
U144,Festival,D115,0.85,0.85,5
U2949,Formal,D22,0.68,0.87,5
U468,Party,D32,0.84,0.81,4
U2983,Formal,D84,0.9,0.88,3
U852,Reception,D120,0.9,0.85,4
U3123,Festival,D49,0.82,0.71,4
U2919,Festival,D117,0.91,0.83,5
U4278,Reception,D20,0.97,0.64,4
U477,Formal,D73,0.82,0.77,3
U666,Wedding,D23,0.83,0.79,5
U2192,Formal,D149,0.89,0.86,4
U3029,College,D91,0.6,0.72,3
U748,Wedding,D90,0.97,0.88,4
U512,Reception,D110,0.81,0.73,5
U1429,Formal,D7,0.76,0.66,4
U4820,Festival,D177,0.62,0.82,5
U2346,Reception,D47,0.65,0.89,5
U4929,Reception,D41,0.78,0.71,3
U3658,Party,D191,0.94,0.95,3
U1865,Formal,D55,0.69,0.71,3
U1079,Reception,D50,0.81,0.88,3
U1280,Reception,D15,0.75,0.75,5
U2833,College,D172,0.83,0.9,3
U3746,Party,D78,0.67,0.82,4
U3361,Festival,D107,0.72,0.74,5
U4400,Wedding,D118,0.84,0.69,5
U705,Formal,D159,0.9,0.61,5
U1790,Party,D121,0.71,0.66,4
U4574,Formal,D96,0.79,1.0,3
U3766,Reception,D139,0.96,0.9,3
U2287,Reception,D36,0.88,0.96,5
U4343,Festival,D9,0.64,0.86,5
U871,Wedding,D163,0.6,0.79,3
U4719,Wedding,D59,0.87,0.68,4
U2606,Reception,D110,0.72,0.65,4
U1198,Party,D132,0.85,0.82,3
U1763,Reception,D20,0.95,0.88,3
U3572,Party,D137,0.66,0.71,5
U3857,Formal,D73,0.72,0.76,4
U579,Reception,D11,0.9,0.87,3
U3977,Reception,D87,0.73,0.89,4
U1628,College,D172,0.62,0.89,5
U2192,Wedding,D86,0.93,0.67,5
U1026,Party,D99,0.66,0.94,5
U3792,Reception,D188,0.77,0.69,5
U3520,Reception,D53,0.81,0.88,3
U3381,Reception,D47,0.9,0.71,3
U2952,Festival,D117,0.93,0.77,3
U1667,College,D172,0.71,0.82,4
U2121,Wedding,D173,0.89,0.91,4
U3762,Party,D135,0.92,0.81,5
U245,Party,D158,0.79,0.69,4
U313,Formal,D185,0.85,0.91,5
U4445,Formal,D38,0.65,0.67,4
U4769,Festival,D106,0.6,0.71,5
U2628,Formal,D77,0.87,0.66,5
U2899,Reception,D37,0.98,0.66,3
U4235,Festival,D92,0.89,0.99,5
U520,Formal,D18,0.65,0.61,5
U4724,Formal,D127,0.91,0.65,3
U4533,Wedding,D17,0.95,0.73,4
U3773,Reception,D8,0.75,0.63,3
U3687,Party,D65,0.73,0.66,3
U2227,Festival,D186,0.65,0.75,4
U652,Party,D42,0.68,0.67,4
U1419,Reception,D187,0.99,0.88,4
U543,Festival,D69,0.89,0.98,5
U4657,College,D68,0.72,0.61,3
U1746,College,D199,0.83,0.89,5
U4617,Wedding,D94,0.88,0.88,3
U4473,Party,D109,0.94,0.99,3
U2968,Party,D65,0.67,1.0,4
U400,Party,D32,0.61,0.88,4
U2443,Wedding,D196,0.82,0.71,3
U3052,Wedding,D190,0.79,0.76,4
U4085,Festival,D177,0.64,0.91,5
U3040,Party,D191,0.89,0.86,3
U3685,Formal,D143,0.72,1.0,4
U468,Party,D182,0.8,0.98,5
